;Point;Latitude;Longitude;NORTAV;NORTXND;NORTNND;Departement_name;Departement_id;Region_name;moy_NORTAV;moy_NORTXND;moy_NORTNND
0;282;41.4087;9.1577;15.52;7;13;Corse-du-Sud;20;Corse;12.9;9.91;9.29
1;423;41.4925;8.9759;15.05;8;12;Corse-du-Sud;20;Corse;12.9;9.91;9.29
2;424;41.4864;9.071;15.71;8;14;Corse-du-Sud;20;Corse;12.9;9.91;9.29
3;425;41.4802;9.166;15.15;7;12;Corse-du-Sud;20;Corse;12.9;9.91;9.29
4;426;41.4739;9.261;15.52;7;13;Corse-du-Sud;20;Corse;12.9;9.91;9.29
5;565;41.57;8.8888;14.11;8;5;Corse-du-Sud;20;Corse;12.9;9.91;9.29
6;566;41.564;8.984;13.84;7;6;Corse-du-Sud;20;Corse;12.9;9.91;9.29
7;567;41.5579;9.0791;12.18;9;9;Corse-du-Sud;20;Corse;12.9;9.91;9.29
8;568;41.5517;9.1743;15.62;7;15;Corse-du-Sud;20;Corse;12.9;9.91;9.29
9;569;41.5454;9.2694;15.66;7;15;Corse-du-Sud;20;Corse;12.9;9.91;9.29
10;708;41.6415;8.8967;14.36;7;5;Corse-du-Sud;20;Corse;12.9;9.91;9.29
11;709;41.6355;8.992;13.9;7;6;Corse-du-Sud;20;Corse;12.9;9.91;9.29
12;710;41.6294;9.0873;12.93;8;8;Corse-du-Sud;20;Corse;12.9;9.91;9.29
13;711;41.6232;9.1826;13.41;6;7;Corse-du-Sud;20;Corse;12.9;9.91;9.29
14;712;41.6169;9.2779;15.82;6;11;Corse-du-Sud;20;Corse;12.9;9.91;9.29
15;849;41.7248;8.7138;14.09;8;5;Corse-du-Sud;20;Corse;12.9;9.91;9.29
16;850;41.719;8.8093;14.69;8;5;Corse-du-Sud;20;Corse;12.9;9.91;9.29
17;851;41.713;8.9047;13.16;8;6;Corse-du-Sud;20;Corse;12.9;9.91;9.29
18;852;41.707;9.0001;13.23;7;6;Corse-du-Sud;20;Corse;12.9;9.91;9.29
19;853;41.7009;9.0955;12.71;8;7;Corse-du-Sud;20;Corse;12.9;9.91;9.29
20;854;41.6946;9.1909;11.75;10;9;Corse-du-Sud;20;Corse;12.9;9.91;9.29
21;855;41.6884;9.2863;14.8;6;7;Corse-du-Sud;20;Corse;12.9;9.91;9.29
22;856;41.682;9.3817;15.85;6;9;Corse-du-Sud;20;Corse;12.9;9.91;9.29
23;993;41.7905;8.8171;13.35;9;5;Corse-du-Sud;20;Corse;12.9;9.91;9.29
24;994;41.7845;8.9127;14.01;6;5;Corse-du-Sud;20;Corse;12.9;9.91;9.29
25;995;41.7785;9.0083;11.5;11;12;Corse-du-Sud;20;Corse;12.9;9.91;9.29
26;996;41.7724;9.1038;10.67;12;13;Corse-du-Sud;20;Corse;12.9;9.91;9.29
27;997;41.7661;9.1993;11.03;13;15;Corse-du-Sud;20;Corse;12.9;9.91;9.29
28;998;41.7598;9.2948;13.19;6;7;Corse-du-Sud;20;Corse;12.9;9.91;9.29
29;1136;41.862;8.8251;13.71;9;5;Corse-du-Sud;20;Corse;12.9;9.91;9.29
30;1137;41.856;8.9207;12.85;8;6;Corse-du-Sud;20;Corse;12.9;9.91;9.29
31;1138;41.85;9.0164;12.92;9;8;Corse-du-Sud;20;Corse;12.9;9.91;9.29
32;1139;41.8439;9.112;8.45;17;18;Corse-du-Sud;20;Corse;12.9;9.91;9.29
33;1140;41.8376;9.2077;8.86;18;20;Corse-du-Sud;20;Corse;12.9;9.91;9.29
34;1141;41.8313;9.3033;14.25;7;8;Corse-du-Sud;20;Corse;12.9;9.91;9.29
35;1278;41.9394;8.7372;14.61;8;5;Corse-du-Sud;20;Corse;12.9;9.91;9.29
36;1279;41.9335;8.833;14.22;8;5;Corse-du-Sud;20;Corse;12.9;9.91;9.29
37;1280;41.9276;8.9288;12.76;9;8;Corse-du-Sud;20;Corse;12.9;9.91;9.29
38;1281;41.9215;9.0246;10.43;14;15;Corse-du-Sud;20;Corse;12.9;9.91;9.29
39;1282;41.9154;9.1203;11.01;12;14;Corse-du-Sud;20;Corse;12.9;9.91;9.29
40;1283;41.9091;9.216;11.1;14;12;Corse-du-Sud;20;Corse;12.9;9.91;9.29
41;1284;41.9028;9.3118;14.52;6;6;Haute-Corse;20;Corse;12.9;9.91;9.29
42;1421;42.011;8.745;13.74;9;5;Corse-du-Sud;20;Corse;12.9;9.91;9.29
43;1422;42.0051;8.8409;13.64;9;5;Corse-du-Sud;20;Corse;12.9;9.91;9.29
44;1423;41.9991;8.9368;11.37;11;12;Corse-du-Sud;20;Corse;12.9;9.91;9.29
45;1424;41.993;9.0327;10.4;14;15;Corse-du-Sud;20;Corse;12.9;9.91;9.29
46;1425;41.9869;9.1286;8.38;18;21;Corse-du-Sud;20;Corse;12.9;9.91;9.29
47;1426;41.9806;9.2245;10.83;14;12;Haute-Corse;20;Corse;12.9;9.91;9.29
48;1427;41.9743;9.3203;14.97;6;4;Haute-Corse;20;Corse;12.9;9.91;9.29
49;1564;42.0825;8.7528;13.97;8;5;Corse-du-Sud;20;Corse;12.9;9.91;9.29
