Point;Latitude;Longitude;Departement_name;Departement_id;Region_name;Nom_Produit;Quantité
282;41.4087;9.1577;Corse-du-Sud;20;Corse;"Légumes cultivés pour le fruit	";157800
423;41.4925;8.9759;Corse-du-Sud;20;Corse;"Légumes cultivés pour le fruit	";157800
424;41.4864;9.071;Corse-du-Sud;20;Corse;"Légumes cultivés pour le fruit	";157800
425;41.4802;9.166;Corse-du-Sud;20;Corse;"Légumes cultivés pour le fruit	";157800
426;41.4739;9.261;Corse-du-Sud;20;Corse;"Légumes cultivés pour le fruit	";157800
565;41.57;8.8888;Corse-du-Sud;20;Corse;"Légumes cultivés pour le fruit	";157800
566;41.564;8.984;Corse-du-Sud;20;Corse;"Légumes cultivés pour le fruit	";157800
567;41.5579;9.0791;Corse-du-Sud;20;Corse;"Légumes cultivés pour le fruit	";157800
568;41.5517;9.1743;Corse-du-Sud;20;Corse;"Légumes cultivés pour le fruit	";157800
569;41.5454;9.2694;Corse-du-Sud;20;Corse;"Légumes cultivés pour le fruit	";157800
708;41.6415;8.8967;Corse-du-Sud;20;Corse;"Légumes cultivés pour le fruit	";157800
709;41.6355;8.992;Corse-du-Sud;20;Corse;"Légumes cultivés pour le fruit	";157800
710;41.6294;9.0873;Corse-du-Sud;20;Corse;"Légumes cultivés pour le fruit	";157800
711;41.6232;9.1826;Corse-du-Sud;20;Corse;"Légumes cultivés pour le fruit	";157800
712;41.6169;9.2779;Corse-du-Sud;20;Corse;"Légumes cultivés pour le fruit	";157800
849;41.7248;8.7138;Corse-du-Sud;20;Corse;"Légumes cultivés pour le fruit	";157800
850;41.719;8.8093;Corse-du-Sud;20;Corse;"Légumes cultivés pour le fruit	";157800
851;41.713;8.9047;Corse-du-Sud;20;Corse;"Légumes cultivés pour le fruit	";157800
852;41.707;9.0001;Corse-du-Sud;20;Corse;"Légumes cultivés pour le fruit	";157800
853;41.7009;9.0955;Corse-du-Sud;20;Corse;"Légumes cultivés pour le fruit	";157800
854;41.6946;9.1909;Corse-du-Sud;20;Corse;"Légumes cultivés pour le fruit	";157800
855;41.6884;9.2863;Corse-du-Sud;20;Corse;"Légumes cultivés pour le fruit	";157800
856;41.682;9.3817;Corse-du-Sud;20;Corse;"Légumes cultivés pour le fruit	";157800
993;41.7905;8.8171;Corse-du-Sud;20;Corse;"Légumes cultivés pour le fruit	";157800
994;41.7845;8.9127;Corse-du-Sud;20;Corse;"Légumes cultivés pour le fruit	";157800
995;41.7785;9.0083;Corse-du-Sud;20;Corse;"Légumes cultivés pour le fruit	";157800
996;41.7724;9.1038;Corse-du-Sud;20;Corse;"Légumes cultivés pour le fruit	";157800
997;41.7661;9.1993;Corse-du-Sud;20;Corse;"Légumes cultivés pour le fruit	";157800
998;41.7598;9.2948;Corse-du-Sud;20;Corse;"Légumes cultivés pour le fruit	";157800
1136;41.862;8.8251;Corse-du-Sud;20;Corse;"Légumes cultivés pour le fruit	";157800
1137;41.856;8.9207;Corse-du-Sud;20;Corse;"Légumes cultivés pour le fruit	";157800
1138;41.85;9.0164;Corse-du-Sud;20;Corse;"Légumes cultivés pour le fruit	";157800
1139;41.8439;9.112;Corse-du-Sud;20;Corse;"Légumes cultivés pour le fruit	";157800
1140;41.8376;9.2077;Corse-du-Sud;20;Corse;"Légumes cultivés pour le fruit	";157800
1141;41.8313;9.3033;Corse-du-Sud;20;Corse;"Légumes cultivés pour le fruit	";157800
1277;41.9452;8.6413;Corse-du-Sud;20;Corse;"Légumes cultivés pour le fruit	";157800
1278;41.9394;8.7372;Corse-du-Sud;20;Corse;"Légumes cultivés pour le fruit	";157800
1279;41.9335;8.833;Corse-du-Sud;20;Corse;"Légumes cultivés pour le fruit	";157800
1280;41.9276;8.9288;Corse-du-Sud;20;Corse;"Légumes cultivés pour le fruit	";157800
1281;41.9215;9.0246;Corse-du-Sud;20;Corse;"Légumes cultivés pour le fruit	";157800
1282;41.9154;9.1203;Corse-du-Sud;20;Corse;"Légumes cultivés pour le fruit	";157800
1283;41.9091;9.216;Corse-du-Sud;20;Corse;"Légumes cultivés pour le fruit	";157800
1284;41.9028;9.3118;Haute-Corse;20;Corse;"Légumes cultivés pour le fruit	";157800
1421;42.011;8.745;Corse-du-Sud;20;Corse;"Légumes cultivés pour le fruit	";157800
1422;42.0051;8.8409;Corse-du-Sud;20;Corse;"Légumes cultivés pour le fruit	";157800
1423;41.9991;8.9368;Corse-du-Sud;20;Corse;"Légumes cultivés pour le fruit	";157800
1424;41.993;9.0327;Corse-du-Sud;20;Corse;"Légumes cultivés pour le fruit	";157800
1425;41.9869;9.1286;Corse-du-Sud;20;Corse;"Légumes cultivés pour le fruit	";157800
1426;41.9806;9.2245;Haute-Corse;20;Corse;"Légumes cultivés pour le fruit	";157800
1427;41.9743;9.3203;Haute-Corse;20;Corse;"Légumes cultivés pour le fruit	";157800
1564;42.0825;8.7528;Corse-du-Sud;20;Corse;"Légumes cultivés pour le fruit	";157800
1565;42.0766;8.8489;Corse-du-Sud;20;Corse;"Légumes cultivés pour le fruit	";157800
1566;42.0706;8.9449;Corse-du-Sud;20;Corse;"Légumes cultivés pour le fruit	";157800
1567;42.0646;9.0409;Corse-du-Sud;20;Corse;"Légumes cultivés pour le fruit	";157800
1568;42.0584;9.1369;Haute-Corse;20;Corse;"Légumes cultivés pour le fruit	";157800
1569;42.0522;9.2329;Haute-Corse;20;Corse;"Légumes cultivés pour le fruit	";157800
1570;42.0458;9.3288;Haute-Corse;20;Corse;"Légumes cultivés pour le fruit	";157800
1571;42.0394;9.4248;Haute-Corse;20;Corse;"Légumes cultivés pour le fruit	";157800
1637;42.3488;1.9977;Ripoll;17;Nouvelle-Aquitaine;Céréales;84542364
1642;42.3492;2.4818;Pyrenees-Orientales;66;Occitanie;Céréales;46860289
1643;42.349;2.5786;Alt Emporda ;17;Nouvelle-Aquitaine;Céréales;84542364
1644;42.3488;2.6754;Alt Emporda ;17;Nouvelle-Aquitaine;Céréales;84542364
1706;42.1599;8.6645;Corse-du-Sud;20;Corse;"Légumes cultivés pour le fruit	";157800
1707;42.1541;8.7607;Corse-du-Sud;20;Corse;"Légumes cultivés pour le fruit	";157800
1708;42.1482;8.8569;Corse-du-Sud;20;Corse;"Légumes cultivés pour le fruit	";157800
1709;42.1422;8.953;Corse-du-Sud;20;Corse;"Légumes cultivés pour le fruit	";157800
1710;42.1361;9.0491;Corse-du-Sud;20;Corse;"Légumes cultivés pour le fruit	";157800
1711;42.1299;9.1452;Haute-Corse;20;Corse;"Légumes cultivés pour le fruit	";157800
1712;42.1237;9.2413;Haute-Corse;20;Corse;"Légumes cultivés pour le fruit	";157800
1713;42.1173;9.3374;Haute-Corse;20;Corse;"Légumes cultivés pour le fruit	";157800
1714;42.1109;9.4334;Haute-Corse;20;Corse;"Légumes cultivés pour le fruit	";157800
1715;42.1044;9.5295;Haute-Corse;20;Corse;"Légumes cultivés pour le fruit	";157800
1780;42.4206;1.9973;Pyrenees-Orientales;66;Occitanie;Céréales;46860289
1781;42.4208;2.0942;Pyrenees-Orientales;66;Occitanie;Céréales;46860289
1784;42.4211;2.3851;Pyrenees-Orientales;66;Occitanie;Céréales;46860289
1785;42.421;2.482;Pyrenees-Orientales;66;Occitanie;Céréales;46860289
1786;42.4209;2.5789;Pyrenees-Orientales;66;Occitanie;Céréales;46860289
1787;42.4206;2.6759;Pyrenees-Orientales;66;Occitanie;Céréales;46860289
1788;42.4202;2.7728;Pyrenees-Orientales;66;Occitanie;Céréales;46860289
1849;42.2315;8.6723;Corse-du-Sud;20;Corse;"Légumes cultivés pour le fruit	";157800
1850;42.2256;8.7686;Corse-du-Sud;20;Corse;"Légumes cultivés pour le fruit	";157800
1851;42.2197;8.8649;Corse-du-Sud;20;Corse;"Légumes cultivés pour le fruit	";157800
1852;42.2137;8.9611;Corse-du-Sud;20;Corse;"Légumes cultivés pour le fruit	";157800
1853;42.2076;9.0574;Haute-Corse;20;Corse;"Légumes cultivés pour le fruit	";157800
1854;42.2015;9.1536;Haute-Corse;20;Corse;"Légumes cultivés pour le fruit	";157800
1855;42.1952;9.2498;Haute-Corse;20;Corse;"Légumes cultivés pour le fruit	";157800
1856;42.1889;9.346;Haute-Corse;20;Corse;"Légumes cultivés pour le fruit	";157800
1857;42.1824;9.4421;Haute-Corse;20;Corse;"Légumes cultivés pour le fruit	";157800
1921;42.4916;1.8028;Pyrenees-Orientales;66;Occitanie;Céréales;46860289
1922;42.4921;1.8998;Pyrenees-Orientales;66;Occitanie;Céréales;46860289
1923;42.4924;1.9969;Pyrenees-Orientales;66;Occitanie;Céréales;46860289
1924;42.4927;2.0939;Pyrenees-Orientales;66;Occitanie;Céréales;46860289
1925;42.4929;2.191;Pyrenees-Orientales;66;Occitanie;Céréales;46860289
1926;42.4929;2.2881;Pyrenees-Orientales;66;Occitanie;Céréales;46860289
1927;42.4929;2.3851;Pyrenees-Orientales;66;Occitanie;Céréales;46860289
1928;42.4929;2.4822;Pyrenees-Orientales;66;Occitanie;Céréales;46860289
1929;42.4927;2.5792;Pyrenees-Orientales;66;Occitanie;Céréales;46860289
1930;42.4924;2.6763;Pyrenees-Orientales;66;Occitanie;Céréales;46860289
1931;42.4921;2.7733;Pyrenees-Orientales;66;Occitanie;Céréales;46860289
1932;42.4916;2.8704;Pyrenees-Orientales;66;Occitanie;Céréales;46860289
1933;42.4911;2.9674;Pyrenees-Orientales;66;Occitanie;Céréales;46860289
1934;42.4905;3.0645;Pyrenees-Orientales;66;Occitanie;Céréales;46860289
1992;42.303;8.6801;Corse-du-Sud;20;Corse;"Légumes cultivés pour le fruit	";157800
1993;42.2972;8.7765;Corse-du-Sud;20;Corse;"Légumes cultivés pour le fruit	";157800
1994;42.2913;8.8729;Haute-Corse;20;Corse;"Légumes cultivés pour le fruit	";157800
1995;42.2853;8.9693;Haute-Corse;20;Corse;"Légumes cultivés pour le fruit	";157800
1996;42.2792;9.0656;Haute-Corse;20;Corse;"Légumes cultivés pour le fruit	";157800
1997;42.273;9.162;Haute-Corse;20;Corse;"Légumes cultivés pour le fruit	";157800
1998;42.2667;9.2583;Haute-Corse;20;Corse;"Légumes cultivés pour le fruit	";157800
1999;42.2604;9.3546;Haute-Corse;20;Corse;"Légumes cultivés pour le fruit	";157800
2000;42.2539;9.4509;Haute-Corse;20;Corse;"Légumes cultivés pour le fruit	";157800
2064;42.5634;1.8021;Pyrenees-Orientales;66;Occitanie;Céréales;46860289
2065;42.5639;1.8993;Pyrenees-Orientales;66;Occitanie;Céréales;46860289
2067;42.5645;2.0936;Pyrenees-Orientales;66;Occitanie;Céréales;46860289
2068;42.5647;2.1908;Pyrenees-Orientales;66;Occitanie;Céréales;46860289
2069;42.5648;2.288;Pyrenees-Orientales;66;Occitanie;Céréales;46860289
2070;42.5648;2.3852;Pyrenees-Orientales;66;Occitanie;Céréales;46860289
2071;42.5647;2.4823;Pyrenees-Orientales;66;Occitanie;Céréales;46860289
2072;42.5645;2.5795;Pyrenees-Orientales;66;Occitanie;Céréales;46860289
2073;42.5642;2.6767;Pyrenees-Orientales;66;Occitanie;Céréales;46860289
